,circuit,n_qubits,depth,n_2q_gates,itensors_time,itensors_fidelity,quimb_time,quimb_fidelity,pytket-cutn_time,pytket-cutn_fidelity
383,TFIM_honeycomb_PBC_Jz=1.0_hx=3.0_dt=0.3_n_trotter_steps=16_Lx=4_Ly=7.json,56,65,1344,oom,oom,,,1642.73273229599,0.012541420210337266
384,XZ_honeycomb_PBC_J=1_dt=0.5_n_trotter_steps=20_Lx=4_Ly=7.json,56,123,3444,oom,oom,,,4090.2581095695496,2.5923108647460134e-40
385,TFIM_honeycomb_PBC_Jz=1.0_hx=3.0_dt=0.1_n_trotter_steps=8_Lx=4_Ly=7.json,56,33,672,oom,oom,,,801.9853744506836,0.5768885460392612
386,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.1_n_trotter_steps=16_Lx=8_Ly=7.json,56,90,1552,oom,oom,14058.404048919678,nan,1218.778517484665,0.6406243625708713
387,TFIM_honeycomb_PBC_Jz=1.0_hx=1.5_dt=0.5_n_trotter_steps=6_Lx=4_Ly=7.json,56,25,504,oom,oom,,,755.4889938831329,0.0016671552335164967
388,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.1_n_trotter_steps=16_Lx=4_Ly=7.json,56,65,1344,oom,oom,,,1592.0522937774658,0.3729753294709054
389,TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.1_n_trotter_steps=18_Lx=4_Ly=7.json,56,73,1314,2026.048935546,0.9462773026890644,,,477.6069235801697,0.9462755365444477
390,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=4_Lx=8_Ly=7.json,56,65,448,1844.510731048,1.7263801277182742e-08,,,507.24398279190063,1.76684421226609e-08
391,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.1_n_trotter_steps=4_Lx=8_Ly=7.json,56,30,388,873.578617897,0.9997144309932213,,,195.24672651290894,0.9997145268482627
392,TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.3_n_trotter_steps=8_Lx=8_Ly=7.json,56,129,896,oom,oom,,,1009.2339398860931,0.1370672971714571
393,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=4_Lx=4_Ly=7.json,56,17,336,2032.615444889,0.9999996041360644,,,405.30594778060913,0.9999996066451974
394,TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=18_Lx=8_Ly=7.json,56,100,1746,oom,oom,,,1473.3301377296448,7.227809001923242e-10
395,XZ_honeycomb_obc_J=1_dt=0.3_n_trotter_steps=18_Lx=4_Ly=7.json,56,111,2701,oom,oom,,,1092.58975148201,0.1798471271782951
396,TFIM_honeycomb_PBC_Jz=1.0_hx=1.5_dt=0.5_n_trotter_steps=18_Lx=4_Ly=7.json,56,73,1512,oom,oom,,,1835.3446226119995,0.0004285755154474319
397,TFIM_square_PBC_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=16_Lx=8_Ly=7.json,56,257,1792,oom,oom,nan,nan,2211.177811861038,3.459134672545456e-19
398,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.1_n_trotter_steps=6_Lx=8_Ly=7.json,56,97,672,oom,oom,,,730.0631501674652,0.7563119045380828
399,TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.1_n_trotter_steps=8_Lx=4_Ly=7.json,56,33,584,779.854371949,0.9999618119131325,,,177.12343740463257,0.9999618112059363
400,TFIM_honeycomb_obc_Jz=1.0_hx=1.5_dt=0.1_n_trotter_steps=6_Lx=4_Ly=7.json,56,25,438,223.90941069,0.9999999999938323,,,90.84581685066223,0.9999999999937581
401,TFIM_honeycomb_PBC_Jz=1.0_hx=3.0_dt=0.1_n_trotter_steps=12_Lx=4_Ly=7.json,56,49,1008,oom,oom,,,1162.047278881073,0.3803253873058802
402,XZ_square_obc_J=1_dt=0.3_n_trotter_steps=12_Lx=8_Ly=7.json,56,109,2425,oom,oom,,,2094.068875312805,0.00023741835923588963
403,TFIM_square_obc_Jz=1.0_hx=2.0_dt=0.1_n_trotter_steps=10_Lx=8_Ly=7.json,56,60,970,oom,oom,,,706.77592420578,0.7386529769935873
404,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=12_Lx=4_Ly=7.json,56,49,1008,oom,oom,,,1098.7563788890839,0.9999989227764147
405,TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.1_n_trotter_steps=4_Lx=4_Ly=7.json,56,17,292,199.516924902,0.999999996583657,,,56.370155572891235,0.9999999966008495
406,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=18_Lx=8_Ly=7.json,56,100,1746,oom,oom,,,1448.8778910636902,9.085237634720395e-16
407,XZ_square_obc_J=1_dt=0.3_n_trotter_steps=8_Lx=8_Ly=7.json,56,77,1649,oom,oom,,,1370.4408292770386,0.004749969829807082
408,XZ_square_PBC_J=1_dt=0.1_n_trotter_steps=12_Lx=8_Ly=7.json,56,375,2800,oom,oom,,,3384.442804813385,0.13714062444514302
409,TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=16_Lx=4_Ly=7.json,56,65,1168,1615.117000143,0.9999999996638753,,,415.9141683578491,0.9999999996623528
410,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=16_Lx=4_Ly=7.json,56,65,1344,oom,oom,,,1478.5144510269165,0.9999987558724965
411,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.1_n_trotter_steps=14_Lx=8_Ly=7.json,56,80,1358,oom,oom,,,1076.369205713272,0.7262146588334701
412,XZ_honeycomb_PBC_J=1_dt=0.5_n_trotter_steps=12_Lx=4_Ly=7.json,56,75,2100,oom,oom,,,2568.447773694992,1.243529281782922e-24
